,position,name,varlab,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17,val18,lab18,val19,lab19,val20,lab20,val21,lab21,val22,lab22,val23,lab23,val24,lab24,val25,lab25,val26,lab26,val27,lab27,val28,lab28,val29,lab29,val30,lab30,val31,lab31,val32,lab32,val33,lab33,val34,lab34,val35,lab35,val36,lab36,val37,lab37,val38,lab38,val39,lab39,val40,lab40,val41,lab41,val42,lab42,val43,lab43,val44,lab44,val45,lab45,val46,lab46,val47,lab47,val48,lab48,val49,lab49,val50,lab50,val51,lab51,val52,lab52,val53,lab53,val54,lab54,val55,lab55,val56,lab56,val57,lab57
10,10767,f5a3f,A3F. Confirm person child lives with when not living with respondent,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3F.    CONFIRM FROM SCREENER:  WHO DOES {CHILD} LIVE WITH WHEN {HE/SHE} IS NOT LIVING WITH THE RESPONDENT?,1 -->  GO TO A3G,BIOLOGICAL MOTHER,2 -->  GO TO A3G,MATERNAL GRANDPARENT(S),3 -->  GO TO A3G,PATERNAL GRANDPARENT(S),4 -->  GO TO A3G,OTHER RELATIVE(S),5 -->  GO TO A3G,FRIEND,91 -->  GO TO A3G,OTHER (SPECIFY),-1 -->  GO TO A3G,REFUSED,-2 -->  GO TO A3G,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10768,f5a3g,A3G. Number of days child lived with you out of past 30 days,A3.           How many months ago did {he/she} stop living with you {most of the time}?,A3G.        How many days did {CHILD} live with you out of the past 30 days?,-1,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10769,f5a4,A4. Relationship with child's biological mother now,"A4.       First, what is your relationship with {CHILD}’s biological mother {MOTHER} now?  Are you…","A4.       First, what is your relationship with {CHILD}’s biological mother {MOTHER} now?  Are you…",1  -->  GO TO BOX A4D,"Married,",2  -->  GO TO BOX A4D,"Separated,",3 -->  GO TO BOX A4D,"Divorced,",4  -->  GO TO BOX A4D,"Cohabiting, or living together,",5  -->  GO TO A4M,"Romantically involved, but living apart,",6  -->  GO TO BOX A4D,"Just friends, or",7  -->  GO TO BOX A4D,Not in any kind of a relationship?,-14  -->  GO TO A4B,"MOTHER DECEASED, VOLUNTEERED",-1  -->  GO TO BOX A4D,REFUSED,-2  -->  GO TO BOX A4D,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10770,f5a4b,A4B. Month mother died,"A4.       First, what is your relationship with {CHILD}’s biological mother {MOTHER} now?  Are you…",A4B.         OFFER CONDOLENCES.  When did {MOTHER} die?,-1   -->  GO TO A4C,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10771,f5a4b2,A4B2. Year mother died,"A4.       First, what is your relationship with {CHILD}’s biological mother {MOTHER} now?  Are you…",A4B2.       [When did {MOTHER} die?],-1,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10772,f5a4c,A4C. Cause of mother's death,"A4.       First, what is your relationship with {CHILD}’s biological mother {MOTHER} now?  Are you…",A4C.         What was the cause of her death?,1 -->  GO TO A5,WON’T DISCUSS,2 -->  GO TO A5,ILLNESS (SPECIFY),3 -->  GO TO A5,ACCIDENT (SPECIFY),4 -->  GO TO A5,OTHER (SPECIFY),-1 -->  GO TO A5,REFUSED,-2 -->  GO TO A5,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10773,f5a4h1,A4H1. Month you and mother got separated/divorced,"A4.       First, what is your relationship with {CHILD}’s biological mother {MOTHER} now?  Are you…",A4H1.       When did you and {MOTHER} get {separated/divorced}?,-1   -->  GO TO A4M,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10774,f5a4h2,A4H2. Year you and mother got separated/divorced,"A4.       First, what is your relationship with {CHILD}’s biological mother {MOTHER} now?  Are you…",A4H2.      [When did you and {MOTHER} get {separated/divorced}?],-1  -->  GO TO A4M,REFUSED,-2  -->  GO TO A4M,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10775,f5a4j1,A4J1. Month your romantic relationship with mother ended,"A4.       First, what is your relationship with {CHILD}’s biological mother {MOTHER} now?  Are you…",A4J1.       When did your romantic relationship with {MOTHER} end?,-1   -->  GO TO A4K,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10776,f5a4j2,A4J2. Year your romantic relationship with mother ended,"A4.       First, what is your relationship with {CHILD}’s biological mother {MOTHER} now?  Are you…",A4J2.       [When did your romantic relationship with {MOTHER} end?],-1,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10777,f5a4m,A4M. How often you and mother see or talk to each other,"A4.       First, what is your relationship with {CHILD}’s biological mother {MOTHER} now?  Are you…",A4M.        How often do you and {MOTHER} see or talk to each other?  Is it . . .,1,"Every day or nearly every day,",2,"A few times a week,",3,"A few times a month,",4,"Only a few times in the past year, or",5,Hardly ever?,0,NEVER,-14,"MOTHER DECEASED, VOLUNTEERED",-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10778,f5a5,"A5. Not including yourself and child, number of people currently living with you","A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?","A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",0  -->  GO TO A5F,LIVES ALONE,1,NUMBER GIVEN,-10 -->  GO TO BOX A5P,RESPONDENT LIVES IN JAIL,-12 -->  GO TO BOX A5P,OR ON THE STREET,-1 -->  GO TO BOX A5A,REFUSED,-2 -->  GO TO BOX A5A,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10779,f5a51,"A51. Not including yourself and child, number of people currently living with yo","A51.         [Not including yourself {and {CHILD}}, how many people are currently living with you?]","A51.         [Not including yourself {and {CHILD}}, how many people are currently living with you?]",-1,REFUSED,-2,DON'T KNOW,1,MALE,2,FEMALE,-1,REFUSED,-2,DON’T KNOW,-1 à GO TO A5C2,REFUSED,-2 à GO TO A5C2,DON’T KNOW,11,"a newborn to 15 year old,",12,"16 to 21,",13,"22 to 30,",14,"31 to 50,",15,"51 to 65, or",16,older than 65?,-1,REFUSED,-2,DON’T KNOW,1,SPOUSE,,PARTNER/(BOY/GIRLFRIEND),3,RESPONDENT’S MOTHER,4,RESPONDENT’S FATHER,5,PARENT IN-LAW,6,BIOLOGICAL CHILD,7,STEPCHILD,8,FOSTER CHILD,9,SIBLING (BROTHER/SISTER),,RESPONDENT,11,RESPONDENT,12,AUNT/UNCLE,13,COUSIN,14,NOT-RELATED ADULT,15,NOT-RELATED CHILD,16,ADOPTED CHILD,17,NIECE/NEPHEW,18,GRANDCHILD,-1,REFUSED,-2,DON’T KNOW,1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10780,f5a5b01,A5B. Gender of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10781,f5a5c01,A5C. Age of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10782,f5a5c01a,A5C2. Age range of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10783,f5a5d01,A5D. Household member's relationship to you,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10784,f5a5e01,A5E. Household member currently working,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10785,f5a5b02,A5B. Gender of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10786,f5a5c02,A5C. Age of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10787,f5a5c02a,A5C2. Age range of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10788,f5a5d02,A5D. Household member's relationship to you,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10789,f5a5e02,A5E. Household member currently working,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,10790,f5a5b03,A5B. Gender of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,10791,f5a5c03,A5C. Age of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,10792,f5a5c03a,A5C2. Age range of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10793,f5a5d03,A5D. Household member's relationship to you,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10794,f5a5e03,A5E. Household member currently working,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10795,f5a5b04,A5B. Gender of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10796,f5a5c04,A5C. Age of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10797,f5a5c04a,A5C2. Age range of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10798,f5a5d04,A5D. Household member's relationship to you,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10799,f5a5e04,A5E. Household member currently working,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,10800,f5a5b05,A5B. Gender of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,10801,f5a5c05,A5C. Age of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10802,f5a5c05a,A5C2. Age range of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,10803,f5a5d05,A5D. Household member's relationship to you,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,10804,f5a5e05,A5E. Household member currently working,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,10805,f5a5b06,A5B. Gender of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,10806,f5a5c06,A5C. Age of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,10807,f5a5c06a,A5C2. Age range of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,10808,f5a5d06,A5D. Household member's relationship to you,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,10809,f5a5e06,A5E. Household member currently working,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,10810,f5a5b07,A5B. Gender of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,10811,f5a5c07,A5C. Age of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,10812,f5a5c07a,A5C2. Age range of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,10813,f5a5d07,A5D. Household member's relationship to you,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,10814,f5a5e07,A5E. Household member currently working,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,10815,f5a5b08,A5B. Gender of household member,"A5.           Not including yourself {and {CHILD}}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
