,position,name,varlab,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17,val18,lab18,val19,lab19,val20,lab20,val21,lab21,val22,lab22,val23,lab23,val24,lab24,val25,lab25,val26,lab26,val27,lab27,val28,lab28,val29,lab29,val30,lab30,val31,lab31,val32,lab32,val33,lab33,val34,lab34,val35,lab35,val36,lab36,val37,lab37,val38,lab38,val39,lab39,val40,lab40,val41,lab41,val42,lab42,val43,lab43,val44,lab44,val45,lab45,val46,lab46,val47,lab47,val48,lab48,val49,lab49,val50,lab50,val51,lab51,val52,lab52,val53,lab53,val54,lab54,val55,lab55,val56,lab56,val57,lab57
10,9810,m5a4,A4. Your relationship with the child's biofather now,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…","A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",1  -->  GO TO BOX A4D,"Married,",2   -->  GO TO BOX A4H,"Separated,",3  -->  GO TO BOX A4H,"Divorced,",4   -->  GO TO BOX A4F,"Cohabiting, or living together,",5   -->  GO TO A4M,"Romantically involved, but living apart,",6   -->  GO TO BOX A4I,"Just friends, or",7  -->  GO TO BOX A4I,Not in any kind of a relationship?,-13  -->  GO TO A5,FATHER NOT KNOWN,-14  -->  GO TO A4B,"FATHER DECEASED, VOLUNTEERED",-1  -->  GO TO A5,REFUSED,-2  -->  GO TO A5,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9811,m5a4b,A4B. Month father died,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4B.         OFFER CONDOLENCES.  When did {FATHER} die?,-1   -->  GO TO A4C,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9812,m5a4b2,A4B2. Year father died,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4B2.       When did {FATHER} die?,-1,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9813,m5a4c,A4C. Cause of father's death,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4C.         What was the cause of his death?,1  -->  GO TO A5,WON’T DISCUSS,2  -->  GO TO A5,ILLNESS ____________________,3  -->  GO TO A5,ACCIDENT __________________,4  -->  GO TO A5,OTHER _____________________,-1  -->  GO TO A5,REFUSED,-2  -->  GO TO A5,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9814,m5a4e1,A4E1. Month you and father got married,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4E1.       When did you and {FATHER} get married?,-1   -->  GO TO A5,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9815,m5a4e2,A4E2. Year you and father got married,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4E2.       When did you and {FATHER} get married?,-1  -->  GO TO A5,REFUSED,-2  -->  GO TO A5,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9816,m5a4g1,A4G1. Month you and father started living together,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4G1.      When did you and {FATHER} start living together?,-1   -->  GO TO A5,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9817,m5a4g2,A4G2. Year you and father started living together,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4G2.      When did you and {FATHER} start living together?,-1  -->  GO TO A5,REFUSED,-2  -->  GO TO A5,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9818,m5a4h1,A4H1. Month you and father separated/divorced,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4H1.       When did you and {FATHER} get {separated/ divorced}?,-1   -->  GO TO A4M,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9819,m5a4h2,A4H2. Year you and father separated/divorced,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4H2.      When did you and {FATHER} get {separated/ divorced}?,-1  -->  GO TO A4M,REFUSED,-2  -->  GO TO A4M,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9820,m5a4j1,A4J1. Month your romantic relationship with father ended,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4J1.       When did your romantic relationship with {FATHER} end?,-1   -->  GO TO A4K,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9821,m5a4j2,A4J2. Year your romantic relationship with father ended,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4J2.       When did your romantic relationship with {FATHER} end?,-1,REFUSED,-2,DON'T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9822,m5a4k,A4K. Why your romantic relationship with father ended,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4K.         Please tell me why your romantic relationship ended.,1,WORK/MONEY),2,DISTANCE (DON’T LIVE IN SAME TOWN),3,MOTHER’S INCARCERATION,4,FATHER’S INCARCERATION,5,JUST GREW APART),6,DRUG OR ALCOHOL PROBLEM,7,VIOLENT/ABUSIVE,91,OTHER (SPECIFY)__________________,101,INFIDELITY,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9823,m5a4m,A4M. How often you and father see or talk to each other,"A4.       First, what is your relationship with {CHILD}’s biological father {FATHER} now? Are you…",A4M.        How often do you and {FATHER} see or talk to each other?  Is it . . .,1,"Every day or nearly every day,",2,"A few times a week,",3,"A few times a month,",4,"Only a few times in the past year, or",5,Hardly ever?,0,NEVER,-14,"FATHER DECEASED, VOLUNTEERED",-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9824,m5a5,"A5. Not including yourself and child, number of people currently living with you","A5.           Not including yourself {and CHILD}, how many people are currently living with you?","A5.           Not including yourself {and CHILD}, how many people are currently living with you?",0  -->  GO TO A5F,ALONE,1,NUMBER GIVEN,-10  -->  GO TO BOX A5K,RESPONDENT LIVES IN JAIL,-12  -->  GO TO BOX A5K,OR ON THE STREET,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9825,m5a51,"A5. Not including yourself and child, number of people currently living with you","A51.         [Not including yourself {and CHILD}, how many people are currently living with you?]","A51.         [Not including yourself {and CHILD}, how many people are currently living with you?]",-1,REFUSED,-2,DON'T KNOW,1,MALE,2,FEMALE,-1,REFUSED,-2,DON’T KNOW,-1  -->  GO TO A5C2,REFUSED,-2  -->  GO TO A5C2,DON’T KNOW,11,"a newborn to 15 year old,",12,"16 to 21,",13,"22 to 30,",14,"31 to 50,",15,"51 to 65, or",16,older than 65?,-1,REFUSED,-2,DON’T KNOW,1,SPOUSE,2,PARTNER/(BOY/GIRLFRIEND),3,RESPONDENT’S MOTHER,4,RESPONDENT’S FATHER,5,PARENT IN-LAW,6,BIOLOGICAL CHILD,7,STEPCHILD,8,FOSTER CHILD,9,SIBLING (BROTHER/SISTER),10,GRANDMOTHER OF RESPONDENT,11,GRANDFATHER OF RESPONDENT,12,AUNT/UNCLE,13,COUSIN,14,NOT-RELATED ADULT,15,NOT-RELATED CHILD,16,ADOPTED CHILD,17,NIECE/NEPHEW,18,GRANDCHILD,-1,REFUSED,-2,DON’T KNOW,1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9826,m5a5b01,A5B. Gender of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,9827,m5a5c01,A5C. Age of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,9828,m5a5c01a,A5C2. Age range of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,9829,m5a5d01,A5D. Household member's relationship to you,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,9830,m5a5e01,A5E. Household member currently working,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,9831,m5a5b02,A5B. Gender of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9832,m5a5c02,A5C. Age of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9833,m5a5c02a,A5C2. Age range of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9834,m5a5d02,A5D. Household member's relationship to you,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9835,m5a5e02,A5E. Household member currently working,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,9836,m5a5b03,A5B. Gender of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9837,m5a5c03,A5C. Age of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9838,m5a5c03a,A5C2. Age range of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,9839,m5a5d03,A5D. Household member's relationship to you,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9840,m5a5e03,A5E. Household member currently working,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,9841,m5a5b04,A5B. Gender of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9842,m5a5c04,A5C. Age of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,9843,m5a5c04a,A5C2. Age range of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,9844,m5a5d04,A5D. Household member's relationship to you,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,9845,m5a5e04,A5E. Household member currently working,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,9846,m5a5b05,A5B. Gender of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9847,m5a5c05,A5C. Age of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,9848,m5a5c05a,A5C2. Age range of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,9849,m5a5d05,A5D. Household member's relationship to you,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,9850,m5a5e05,A5E. Household member currently working,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,9851,m5a5b06,A5B. Gender of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,9852,m5a5c06,A5C. Age of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,9853,m5a5c06a,A5C2. Age range of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,9854,m5a5d06,A5D. Household member's relationship to you,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9855,m5a5e06,A5E. Household member currently working,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,9856,m5a5b07,A5B. Gender of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,9857,m5a5c07,A5C. Age of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,9858,m5a5c07a,A5C2. Age range of household member,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,9859,m5a5d07,A5D. Household member's relationship to you,"A5.           Not including yourself {and CHILD}, how many people are currently living with you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
