,position,name,varlab,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17,val18,lab18,val19,lab19,val20,lab20,val21,lab21,val22,lab22,val23,lab23,val24,lab24,val25,lab25,val26,lab26,val27,lab27,val28,lab28,val29,lab29,val30,lab30,val31,lab31,val32,lab32,val33,lab33,val34,lab34,val35,lab35,val36,lab36,val37,lab37,val38,lab38,val39,lab39,val40,lab40,val41,lab41,val42,lab42,val43,lab43
10,15561,p6aa2_101,AA2_101. NPCG receives payment from other - Social Security,AA2.       Where do you receive payments from?,OTHER (SPECIFY),1,YOUTH’S MOTHER,2,YOUTH’S FATHER,3,PARENT OR PARENTS OF OTHER CHILDREN,4,FOSTER CARE PAYMENT,5,TANF/WELFARE,91,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15562,p6aa3,AA3. Amount received by NPCG for caring for youth and other children last month,,AA3.       How much did you receive altogether last month? Please include payments you received last month for {YOUTH} and for any other children in your household for whom you received payments.,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15563,p6aa4,AA4. Youth's biological parent(s) give(s) PCG money regularly?,,AA4.       {Does {YOUTH}’s mother/Does {YOUTH}’s father/Do {YOUTH}’s mother and/or father} give you a regular amount of money each month or just money once in a while to help out?,1,REGULAR AMOUNT,2,MONEY ONCE IN A WHILE,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15564,p6b1,B1. PCG's description of youth's health,,"B1.          In general, would you say {YOUTH}’s health is …",1,Excellent,2,Very Good,3,Good,4,Fair,5,Poor,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15565,p6b2,B2. Doctor diagnosed youth with asthma,,B2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15566,p6b3,B3. Doctor diagnosed youth with anemia,,B3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15567,p6b4,B4. Doctor diagnosed youth with heart disease/condition,,B4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15568,p6b5,B5. Doctor diagnosed youth with depression/anxiety,,B5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15569,p6b6,B6. Doctor diagnosed youth with diabetes,,B6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,15570,p6b7,B7. Doctor diagnosed youth with limb problems,,B7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,15571,p6b8,B8. Doctor diagnosed youth with seizures,,B8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15572,p6b9,B9. Doctor diagnosed youth with other condition,,B9.,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15573,p6b9_101,B9_101. What is other health condition - Headache/Migraines,B9.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15574,p6b9_102,B9_102. What is other health condition - Overweight/Obese,B9.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15575,p6b9_103,B9_103. What is other health condition - Allergies,B9.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,15576,p6b9_104,B9_104. What is other health condition - Eczema,B9.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,15577,p6b9_105,B9_105. What is other health condition - Blood pressure/Cholesterol,B9.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,15578,p6b9_106,B9_106. What is other health condition - Scoliosis,B9.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,15579,p6b9_107,B9_107. What is other health condition - Unspecified,B9.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15580,p6b10,B10. Doctor diagnosed youth with ADD/ADHD,,B10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,15581,p6b11,B11. Doctor diagnosed youth with Autism,,B11.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,15582,p6b12,B12. Doctor diagnosed youth with other learning disability,,B12.,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,15583,p6b12_101,B12_101. What is other learning disability - Speech problem,B12.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15584,p6b12_102,B12_102. What is other learning disability - Developmental delay,B12.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15585,p6b12_103,B12_103. What is other learning disability - Dyslexia,B12.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,15586,p6b12_104,B12_104. What is other learning disability - Reading/Math difficulty,B12.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,15587,p6b12_105,B12_105. What is other learning disability - Other,B12.,OTHER (SPECIFY),-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,15588,p6b13,B13. Youth had food/digestive allergy in past year,,B13.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,15589,p6b14,B14. Youth had eczema/skin allergy in past year,,B14.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,15590,p6b15,B15. Youth had frequent diarrhea/colitis in past year,,B15.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,15591,p6b16,B16. Youth had frequent headaches/migraines in past year,,B16.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,15592,p6b17,B17. Youth had ear infection in past year,,B17.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15593,p6b18,B18. Youth had stuttering or stammering problem in past year,,B18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,15594,p6b19,B19. Youth had trouble breathing/chest problem in past year,,B19.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,15595,p6b20,B20. Health problems limit youth's usual activities?,,"B20.       Do any of these health problems limit {YOUTH}’s usual activities at school, home, or work?",1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,15596,p6b21,B21. Days youth absent from school due to health in past year,,"B21.       In the last year, how many days has {YOUTH} been absent from school because of health problems?",-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,15597,p6b22,B22. Youth saw doctor for accident or injury in past year?,,B22.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,15598,p6b23,B23. Youth saw doctor for an illness in past year?,,B23.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,15599,p6b24,B24. Youth saw doctor for regular check-up in past year?,,B24.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,15600,p6b25,B25. Times youth has been injured in past year,,"B25.       During the past 12 months, how many times has {YOUTH} been injured in any way that limited {his/her} usual activities?",-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,15601,p6b26,B26. Youth takes doctor prescribed medication?,,B26.       Does {YOUTH} regularly take or use any medicines for which a doctor's or dentist's prescription is needed? This includes any products which cannot be obtained without a doctor's or dentist's prescription.,1,YES,2  -->  GO TO B28,NO,-1 -->  GO TO B28,REFUSED,-2 -->  GO TO B28,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,15602,p6b27_1,B27_1. Youth takes medication for ADD/ADHD,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,DISORDER (ADHD),1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,15603,p6b27_2,B27_2. Youth takes medication for anemia,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,ANEMIA,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,15604,p6b27_3,B27_3. Youth takes medication for asthma,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,ASTHMA,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,15605,p6b27_4,B27_4. Youth takes medication for heart condition,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,HEART CONDITION,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,15606,p6b27_5,B27_5. Youth takes medication for depression/anxiety,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,DEPRESSION/ANXIETY,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,15607,p6b27_6,B27_6. Youth takes medication for diabetes,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,DIABETES,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,15608,p6b27_7,B27_7. Youth takes medication for eczema,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,ECZEMA,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,15609,p6b27_8,B27_8. Youth takes medication for diarrhea or colitis,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,DIARRHEA OR COLITIS,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,15610,p6b27_9,B27_9. Youth takes medication for seizures,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,SEIZURES,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,15611,p6b27_10,B27_10. Youth takes medication for headaches or migraines,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,HEADACHES OR MIGRAINES,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,15612,p6b27_11,B27_11. Youth takes medication for ear infections,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,EAR INFECTIONS,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,15613,p6b27_12,B27_12. Youth takes medication for other health condition,B27.      For what conditions does {YOUTH} regularly take or use prescription medications?,OTHER HEALTH CONDITION,1,DISORDER (ADHD),2,ANEMIA,3,ASTHMA,4,HEART CONDITION,5,DEPRESSION/ANXIETY,6,DIABETES,7,ECZEMA,8,DIARRHEA OR COLITIS,9,SEIZURES,10,HEADACHES OR MIGRAINES,11,EAR INFECTIONS,12,OTHER HEALTH CONDITION,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,15614,p6b28,B28. Youth has usual place for routine health care?,,"B28.       Does {YOUTH} have a usual place for routine health care, such as regular check-ups?",1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,1,DOCTOR’S OFFICE/PRIVATE CLINIC/HMO,2,HOSPTIAL OUTPATIENT CLINIC,3,OTHER CLINIC,4,HOSPITAL EMERGENCY ROOM,5,WALK-IN/EMERGENCY CARE CENTER,6,OTHER PLACE,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,15615,p6b29,B29. Place youth usually goes for health care?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,15616,p6b30,B30. Times youth stayed overnight at hospital past year,,"B30.     In the last 12 months, how many times has {YOUTH} been admitted to a hospital and stayed overnight?",-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,15617,p6b31,B31. Youth covered by Medicaid/public insurance plan?,,"B31.       Is {YOUTH} currently covered by Medicaid or by another public, federal or state program which pays for medical care, or do you belong to a Medicaid HMO?",1  -->  GO TO B34,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,15618,p6b32,B32. Youth covered by private insurance plan?,,B32.       Is {YOUTH} currently covered by a private health insurance plan?,1,YES,2  -->  GO TO B34,NO,-1  -->  GO TO B34,REFUSED,-2  -->  GO TO B34,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,15619,p6b33_1,B33_1. Insurance purchased by PCG,"B33.       Did you purchase the plan yourself, did someone else purchase it, or did you get it through an employer, or online health exchange?",PURCHASED BY RESPONDENT,1,PURCHASED BY RESPONDENT,2,PURCHASED BY OTHER,3,THROUGH RESPONDENT’S EMPLOYER,4,THROUGH YOUTH’S FATHER’S EMPLOYER,5,THROUGH YOUTH’S MOTHER’S EMPLOYER,6,WHO IS NOT A BIO PARENT,7,EXCHANGE,-1,REFUSED,-2,DON’T KNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
