,position,name,varlab,multiple_answers,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17
16,31,f1b4c,"Why did romantic rel end with BM, Incarceration ?",1,Why did your romantic relationship with [BABY’S MOTHER] end?,B4C      INCARCERATION,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
17,32,f1b4d,"Why did romantic rel end with BM, Relationship Reasons ?",1,Why did your romantic relationship with [BABY’S MOTHER] end?,"B4D      RELATIONSHIP REASONS (DON’T GET ALONG,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
18,33,f1b4e,"Why did romantic rel end with BM, Drug problem ?",1,Why did your romantic relationship with [BABY’S MOTHER] end?,B4E      DRUG PROBLEM,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
19,34,f1b4f,"Why did romantic rel end with BM, Violence, Abuse ?",1,Why did your romantic relationship with [BABY’S MOTHER] end?,"B4F      VIOLENCE, ABUSE",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
20,35,f1b4g,"Why did romantic rel end with BM, Other?",1,Why did your romantic relationship with [BABY’S MOTHER] end?,"B4G      OTHER, NOT SPECIFIED",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
21,36,f1b5a,"Last mo did you and BM, visited with friends?",1,I’m going to read you some things that couples often do together,Visited with friends?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
22,37,f1b5b,"Last mo did you and BM, went out to a movie, sporting event, etc,?",1,I’m going to read you some things that couples often do together,"Went out to a movie, sporting event,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
23,38,f1b5c,"Last mo did you and BM, ate out in a restaurant?",1,I’m going to read you some things that couples often do together,Ate out in a restaurant?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
24,39,f1b5d,"Last mo did you and BM, helped each other solve a problem?",1,I’m going to read you some things that couples often do together,Helped each other solve a problem?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
25,40,f1b6a,"When last tgthr, how often did you disagree about money?",1,The following is a list of subjects on which couples often have disagreements,"Money? Would you say it was often,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
26,41,f1b6b,"When last tgthr, how often did you disagree about spending time?",1,The following is a list of subjects on which couples often have disagreements,Spending time together?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
27,42,f1b6c,"When last tgthr, how often did you disagree about sex?",1,The following is a list of subjects on which couples often have disagreements,Sex?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
28,43,f1b6d,"When last tgthr, how often did you disagree about the pregnancy?",1,The following is a list of subjects on which couples often have disagreements,The pregnancy?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
29,44,f1b6e,"When last tgthr, how often did you disagree about drink/alcohol use?",1,The following is a list of subjects on which couples often have disagreements,Drinking or drug use ?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
30,45,f1b6f,"When last tgthr, how often did you disagree about being faithful?",1,The following is a list of subjects on which couples often have disagreements,Being faithful?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
31,46,f1b7a,How often was BM fair & willing to compromise?,1,"Thinking about your past relationship with [BABY’S MOTHER], how often would you  say that:",She was fair and willing to compromise,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
32,47,f1b7b,How often did BM hit or slap you when angry?,1,"Thinking about your past relationship with [BABY’S MOTHER], how often would you  say that:",She hit or slapped you when he,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
33,48,f1b7c,How often did BM express affection/love for you?,1,"Thinking about your past relationship with [BABY’S MOTHER], how often would you  say that:",She expressed affection or love for you?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
34,49,f1b7d,How often did BM insult/criticize you or ideas?,1,"Thinking about your past relationship with [BABY’S MOTHER], how often would you  say that:",She insulted or criticized you or your ideas?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
35,50,f1b7e,How often did BM encourage/help you do things?,1,"Thinking about your past relationship with [BABY’S MOTHER], how often would you  say that:",She encouraged or helped you to do things,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
36,51,f1b8,Are you and BM living together now?,0,Are you and [BABY’S MOTHER] living together now?,Are you and [BABY’S MOTHER] living together now?,1 (GO TO Q.B10 ON P. 8),YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
37,52,f1b9,Do you and BM have plans to live together or marry in the future?,0,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,1 (SKIP TO B9B),YES,2,NO,1,"LIKE MARRIED, DON’T APPROVE OF MARRIAGE)",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
38,53,f1b9a1,"Reasons no plan to live tgthr, No need to marry?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
39,54,f1b9a2,"Reasons no plan to live tgthr, Timing problem?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9A2    TIMING PROBLEM (HAVEN’T SET DATE,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
40,55,f1b9a3,"Reasons no plan to live tgthr, Financial Reasons?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9A3    FINANCIAL REASONS (DON’T HAVE WORK,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
41,56,f1b9a4,"Reasons no plan to live tgthr, Distance?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,B9A4    DISTANCE (DON’T LIVE IN SAME TOWN),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
42,57,f1b9a5,"Reasons no plan to live tgthr, Incarceration?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,B9A5    INCARCERATION,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
43,58,f1b9a6,"Reasons no plan to live tgthr, Housing reasons?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,B9A6    HOUSING REASONS (NO   PLACE TO LIVE),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
44,59,f1b9a7,"Reasons no plan to live tgthr, Relationship reasons?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9A7    RELATIONSHIP REASONS (DON’T GET ALONG,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
45,60,f1b9a8,"Reasons no plan to live tgthr, Drug problem?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,B9A8    DRUG PROBLEM,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
46,61,f1b9a9,"Reasons no plan to live tgthr, Violence, abuse?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9A9    VIOLENCE, ABUSE",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
47,62,f1b9a10,"Reasons no plan to live tgthr, Haven't talked about it?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9A10  HAVEN’T TALKED ABOUT IT (NO REASON, DON’T KNOW)",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
48,63,f1b9a11,"Reasons no plan to live tgthr, Other specify?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9A11  OTHER, NOT SPECIFIED",1,YES,2,NO,1,"LIKE MARRIED, DON’T APPROVE OF MARRIAGE)",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
49,64,f1b9b1,"Reasons aren't living tgthr, No need to marry?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
50,65,f1b9b2,"Reasons aren't living tgthr, Timing problem?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9B2    TIMING PROBLEM (HAVEN’T SET DATE,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
51,66,f1b9b3,"Reasons aren't living tgthr, Financial Reasons?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9B3    FINANCIAL REASONS (DON’T HAVE WORK,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
52,67,f1b9b4,"Reasons aren't living tgthr, Distance?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,B9B4    DISTANCE (DON’T LIVE IN SAME TOWN),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
53,68,f1b9b5,"Reasons aren't living tgthr, Incarceration?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,B9B5    INCARCERATION,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
54,69,f1b9b6,"Reasons aren't living tgthr, Housing reasons?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,B9B6    HOUSING REASONS (NO   PLACE TO LIVE),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
55,70,f1b9b7,"Reasons aren't living tgthr, Relationship reasons?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9B7    RELATIONSHIP REASONS (DON’T GET ALONG,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
56,71,f1b9b8,"Reasons aren't living tgthr, Drug problem?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,B9B8    DRUG PROBLEM,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
57,72,f1b9b9,"Reasons aren't living tgthr, Violence, abuse?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9B9    VIOLENCE, ABUSE",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
58,73,f1b9b10,"Reasons aren't living tgthr, Haven't talked about it?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9B10  HAVEN’T TALKED ABOUT IT (NO REASON,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
59,74,f1b9b11,"Reasons aren't living tgthr, Other specify?",1,Do you and [BABY’S MOTHER] have plans to live together or marry in the future?,"B9B11  OTHER, NOT SPECIFIED",1,YES,2,NO,103,HEALTH PROBLEMS,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
60,75,f1b10,Do you & BM have plans to marry in the future?,0,Do you and [BABY’S MOTHER] have plans to marry in the future?,Do you and [BABY’S MOTHER] have plans to marry in the future?,1 (SKIP TO B10B),YES,2,NO,1,"LIKE MARRIED, DON’T APPROVE OF MARRIAGE)",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
61,76,f1b10a1,"Reasons no plan to marry, No need to marry?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
62,77,f1b10a2,"Reasons no plan to marry, Timing problem?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10A2  TIMING PROBLEM (HAVEN’T SET DATE,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
63,78,f1b10a3,"Reasons no plan to marry, Financial reasons?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10A3  FINANCIAL REASONS (DON’T HAVE WORK,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
64,79,f1b10a4,"Reasons no plan to marry, Distance?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,B10A4  DISTANCE (DON’T LIVE IN SAME TOWN),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
65,80,f1b10a5,"Reasons no plan to marry, Incarceration?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,B10A5  INCARCERATION,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
66,81,f1b10a6,"Reasons no plan to marry, Housing reasons?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,B10A6  HOUSING REASONS (NO   PLACE TO LIVE),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
67,82,f1b10a7,"Reasons no plan to marry, Relationship reasons?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10A7  RELATIONSHIP REASONS (DON’T GET ALONG,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
68,83,f1b10a8,"Reasons no plan to marry, Drug problem?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,B10A8  DRUG PROBLEM,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
69,84,f1b10a9,"Reasons no plan to marry, Violence, abuse?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10A9  VIOLENCE, ABUSE",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
70,85,f1b10a10,"Reasons no plan to marry, Haven't talked about it?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10A10 HAVEN’T TALKED ABOUT IT (NO REASON,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
71,86,f1b10a11,"Reasons no plan to marry, Other specify?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10A11 OTHER, NOT SPECIFIED",1,YES,2,NO,1,"LIKE MARRIED, DON’T APPROVE OF MARRIAGE)",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
72,87,f1b10b1,"Reasons aren't married now, No need to marry?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
73,88,f1b10b2,"Reasons aren't married now, Timing problem?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10B2  TIMING PROBLEM (HAVEN’T SET DATE,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
74,89,f1b10b3,"Reasons aren't married now, Financial Reasons?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10B3  FINANCIAL REASONS (DON’T HAVE WORK,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
75,90,f1b10b4,"Reasons aren't married now, Distance?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,B10B4  DISTANCE (DON’T LIVE IN SAME TOWN),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
76,91,f1b10b5,"Reasons aren't married now, Incarceration?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,B10B5  INCARCERATION,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
77,92,f1b10b6,"Reasons aren't married now, Housing reasons?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,B10B6  HOUSING REASONS (NO PLACE TO LIVE),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
78,93,f1b10b7,"Reasons aren't married now, Relationship reasons?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10B7  RELATIONSHIP REASONS (DON’T GET ALONG,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
79,94,f1b10b8,"Reasons aren't married now, Drug problem?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,B10B8  DRUG PROBLEM,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
80,95,f1b10b9,"Reasons aren't married now, Violence, abuse?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10B9  VIOLENCE, ABUSE",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
81,96,f1b10b10,"Reasons aren't married now, Haven't talked about it?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10B10 HAVEN’T TALKED ABOUT IT (NO REASON,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
82,97,f1b10b11,"Reasons aren't married now, Other specify?",1,Do you and [BABY’S MOTHER] have plans to marry in the future?,"B10B11 OTHER, NOT SPECIFIED",1,YES,2,NO,102,LEGAL/RESIDENCY PROBLEM,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
83,98,f1b11a,"In last mo, you and BM visited with friends?",1,I’m going to read you some things that couples often do together,Visited with friends?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
84,99,f1b11b,"In last mo, you and BM went out to movies, sporting event, etc?",1,I’m going to read you some things that couples often do together,"Gone out to a movie, sporting event,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
85,100,f1b11c,"In last mo, you and BM ate out in a restaurant?",1,I’m going to read you some things that couples often do together,Ate out in a restaurant?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
86,101,f1b11d,"In last mo, you and BM helped each other solve a problem?",1,I’m going to read you some things that couples often do together,Helped each other solve a problem?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
87,102,f1b12a,"In last mo how often, disagree about money?",1,The following is a list of subjects on which couples often have disagreements,"Money? Would you say often,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
88,103,f1b12b,"In last mo how often, disagree about spending time together?",1,The following is a list of subjects on which couples often have disagreements,Spending time together?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
